31710,LEUCHARS RAF,,0,56.380,-2.860,  12
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.4,E,8,7.4,E,8,81,E,8,1012,E,8,218,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.556,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,10.0,E,8,5.5,E,8,73,E,8,1012,E,8,252,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.5,E,8,4.9,E,8,73,E,8,1012,E,8,249,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.312,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.3,E,8,4.7,E,8,73,E,8,1012,E,8,265,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.293,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.0,E,8,4.5,E,8,73,E,8,1012,E,8,263,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.267,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.8,E,8,4.6,E,8,75,E,8,1012,E,8,252,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.284,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.6,E,8,4.3,E,8,74,E,8,1012,E,8,276,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.257,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.4,E,8,4.0,E,8,74,E,8,1012,E,8,237,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.228,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,1,69,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,9,E,8,8,E,8,8.4,E,8,4.4,E,8,75,E,8,1012,E,8,214,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.258,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,82,1412,32,3,10,102,3,20,26,3,10,3409,3,10,417,3,20,3384,3,10,-9990,0,0,9,E,8,8,E,8,9.5,E,8,4.7,E,8,72,E,8,1012,E,8,298,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.286,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,185,1412,69,3,10,181,3,20,45,3,10,7248,3,10,5856,3,20,6478,3,10,-9990,0,0,9,E,8,8,E,8,10.6,E,8,3.9,E,8,63,E,8,1012,E,8,185,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.217,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,245,1412,91,3,10,110,3,20,72,3,10,9898,3,10,8023,3,20,8504,3,10,-9990,0,0,9,E,8,8,E,8,11.6,E,8,4.1,E,8,60,E,8,1012,E,8,271,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.233,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,257,1412,97,3,10,112,3,20,76,3,10,10554,3,10,8214,3,20,9058,3,10,-9990,0,0,9,E,8,8,E,8,12.2,E,8,4.2,E,8,58,E,8,1012,E,8,235,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.249,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,220,1412,91,3,10,251,3,20,52,3,10,9582,3,10,13780,3,20,7434,3,10,-9990,0,0,9,E,8,8,E,8,12.6,E,8,4.1,E,8,56,E,8,1012,E,8,148,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.234,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,137,1412,49,3,10,130,3,20,36,3,10,5153,3,10,5642,3,20,4607,3,10,-9990,0,0,9,E,8,8,E,8,12.3,E,8,4.2,E,8,58,E,8,1012,E,8,190,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.248,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,22,395,1,3,10,0,3,20,1,3,10,177,3,10,10,3,20,177,3,10,-9990,0,0,9,E,8,8,E,8,11.5,E,8,4.6,E,8,63,E,8,1012,E,8,266,E,8,5.5,E,8,-9990,0,0,-9990,0,0,1.284,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,11.1,E,8,4.9,E,8,66,E,8,1012,E,8,126,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.304,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,10.6,E,8,4.8,E,8,68,E,8,1012,E,8,245,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.302,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,10.1,E,8,4.5,E,8,68,E,8,1012,E,8,187,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.270,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,9.6,E,8,4.4,E,8,70,E,8,1012,E,8,236,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.264,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,9.2,E,8,4.2,E,8,71,E,8,1012,E,8,249,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.243,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,8.7,E,8,3.5,E,8,70,E,8,1012,E,8,210,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.189,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,8.2,E,8,2.2,E,8,66,E,8,1012,E,8,265,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.085,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,7.7,E,8,2.4,E,8,69,E,8,1012,E,8,216,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.100,E,8,0.154,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,8,E,8,6,E,8,7.2,E,8,1.9,E,8,69,E,8,1012,E,8,247,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.061,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,6.7,E,8,1.3,E,8,69,E,8,1012,E,8,220,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.018,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,6.1,E,8,1.4,E,8,72,E,8,1012,E,8,235,E,8,5.5,E,8,-9990,0,0,-9990,0,0,1.021,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,5.8,E,8,1.3,E,8,73,E,8,1012,E,8,110,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.013,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,5.5,E,8,1.4,E,8,75,E,8,1012,E,8,187,E,8,5.9,E,8,-9990,0,0,-9990,0,0,1.023,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,5.2,E,8,1.3,E,8,76,E,8,1012,E,8,125,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.020,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,5.0,E,8,1.2,E,8,76,E,8,1012,E,8,187,E,8,5.7,E,8,-9990,0,0,-9990,0,0,1.006,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,4.7,E,8,0.5,E,8,74,E,8,1012,E,8,164,E,8,4.0,E,8,-9990,0,0,-9990,0,0,0.963,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,09:00,1,72,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,5,E,8,4,E,8,4.7,E,8,0.1,E,8,72,E,8,1012,E,8,264,E,8,4.4,E,8,-9990,0,0,-9990,0,0,0.933,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,10:00,83,1412,31,3,10,117,3,20,24,3,10,3258,3,10,0,3,20,3258,3,10,-9990,0,0,5,E,8,4,E,8,5.7,E,8,1.8,E,8,76,E,8,1012,E,8,226,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.051,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,11:00,187,1412,79,3,10,275,3,20,42,3,10,8313,3,10,16869,3,20,6081,3,10,-9990,0,0,5,E,8,4,E,8,7.2,E,8,2.3,E,8,71,E,8,1012,E,8,192,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.092,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,12:00,247,1412,107,3,10,278,3,20,58,3,10,11221,3,10,16829,3,20,8276,3,10,-9990,0,0,5,E,8,4,E,8,8.3,E,8,3.1,E,8,70,E,8,1012,E,8,256,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.156,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,13:00,259,1412,110,3,10,260,3,20,62,3,10,11529,3,10,14846,3,20,8803,3,10,-9990,0,0,5,E,8,4,E,8,9.1,E,8,3.2,E,8,67,E,8,1012,E,8,266,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.164,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,14:00,222,1412,75,3,10,62,3,20,65,3,10,8166,3,10,2782,3,20,7728,3,10,-9990,0,0,10,E,8,9,E,8,9.1,E,8,3.3,E,8,67,E,8,1012,E,8,241,E,8,5.2,E,8,-9990,0,0,-9990,0,0,1.169,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,15:00,139,1412,43,3,10,53,3,20,38,3,10,4694,3,10,1722,3,20,4524,3,10,-9990,0,0,10,E,8,9,E,8,8.7,E,8,4.0,E,8,72,E,8,1011,E,8,195,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.225,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,16:00,24,409,1,3,10,0,3,20,1,3,10,181,3,10,10,3,20,180,3,10,-9990,0,0,10,E,8,9,E,8,7.7,E,8,4.1,E,8,78,E,8,1011,E,8,202,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.236,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.5,E,8,4.3,E,8,80,E,8,1011,E,8,246,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.251,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,5.0,E,8,85,E,8,1011,E,8,231,E,8,4.6,E,8,-9990,0,0,-9990,0,0,1.316,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,4.0,E,8,80,E,8,1010,E,8,242,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.230,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,4.3,E,8,82,E,8,1010,E,8,258,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.257,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,5.4,E,8,90,E,8,1010,E,8,243,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.354,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.8,E,8,6.0,E,8,95,E,8,1010,E,8,245,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.412,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,5.6,E,8,93,E,8,1009,E,8,267,E,8,1.8,E,8,-9990,0,0,-9990,0,0,1.368,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.5,E,8,6.0,E,8,97,E,8,1009,E,8,323,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.408,E,8,0.144,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.6,E,8,6.3,E,8,98,E,8,1009,E,8,299,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.441,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.6,E,8,6.1,E,8,97,E,8,1009,E,8,305,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.425,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.6,E,8,6.1,E,8,97,E,8,1008,E,8,302,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.420,E,8,0.137,E,8,0.20,E,8,1,-9990,0,0
01/03/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.4,E,8,6.1,E,8,98,E,8,1008,E,8,306,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.425,E,8,0.137,E,8,0.20,E,8,2,-9990,0,0
01/03/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,6.4,E,8,98,E,8,1008,E,8,309,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.137,E,8,0.20,E,8,1,-9990,0,0
01/03/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,6.4,E,8,97,E,8,1008,E,8,306,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.455,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,6.7,E,8,98,E,8,1007,E,8,308,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.483,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,6.8,E,8,98,E,8,1007,E,8,300,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.488,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,09:00,1,76,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,7.1,E,8,6.8,E,8,98,E,8,1007,E,8,306,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.491,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,10:00,84,1412,4,3,10,0,3,20,4,3,10,555,3,10,10,3,20,555,3,10,-9990,0,0,10,E,8,9,E,8,7.3,E,8,6.8,E,8,97,E,8,1007,E,8,282,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.489,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,11:00,188,1412,13,3,10,0,3,20,13,3,10,1553,3,10,0,3,20,1553,3,10,-9990,0,0,10,E,8,9,E,8,7.7,E,8,7.2,E,8,97,E,8,1006,E,8,283,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.534,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,12:00,249,1412,18,3,10,0,3,20,18,3,10,2222,3,10,0,3,20,2222,3,10,-9990,0,0,10,E,8,9,E,8,8.1,E,8,7.4,E,8,95,E,8,1006,E,8,250,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.553,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,13:00,261,1412,18,3,10,0,3,20,18,3,10,2236,3,10,0,3,20,2236,3,10,-9990,0,0,10,E,8,9,E,8,8.3,E,8,7.5,E,8,95,E,8,1006,E,8,270,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.574,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,14:00,225,1412,15,3,10,0,3,20,15,3,10,1813,3,10,0,3,20,1813,3,10,-9990,0,0,10,E,8,9,E,8,8.5,E,8,8.0,E,8,97,E,8,1006,E,8,194,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.620,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,15:00,142,1412,8,3,10,0,3,20,8,3,10,1028,3,10,4,3,20,1027,3,10,-9990,0,0,10,E,8,9,E,8,8.4,E,8,7.8,E,8,96,E,8,1006,E,8,280,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.606,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,16:00,26,424,1,3,10,0,3,20,1,3,10,158,3,10,9,3,20,157,3,10,-9990,0,0,10,E,8,9,E,8,8.2,E,8,7.2,E,8,93,E,8,1006,E,8,249,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.532,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,17:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,7.2,E,8,94,E,8,1006,E,8,277,E,8,3.1,E,8,-9990,0,0,-9990,0,0,1.533,E,8,0.137,E,8,0.20,E,8,1,-9990,0,0
01/03/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,7.5,E,8,97,E,8,1006,E,8,249,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.564,E,8,0.137,E,8,0.20,E,8,1,-9990,0,0
01/03/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,8.0,E,8,7.7,E,8,98,E,8,1006,E,8,75,E,8,4.1,E,8,-9990,0,0,-9990,0,0,1.591,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.9,E,8,7.4,E,8,97,E,8,1006,E,8,67,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.557,E,8,0.137,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,7.2,E,8,97,E,8,1006,E,8,194,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.536,E,8,0.137,E,8,0.20,E,8,1,-9990,0,0
01/03/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.2,E,8,6.9,E,8,98,E,8,1006,E,8,178,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.504,E,8,0.137,E,8,0.20,E,8,3,-9990,0,0
01/03/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,7.1,E,8,98,E,8,1006,E,8,175,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.528,E,8,0.137,E,8,0.20,E,8,2,-9990,0,0
01/03/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.4,E,8,6.2,E,8,99,E,8,1006,E,8,160,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.433,E,8,0.137,E,8,0.20,E,8,6,-9990,0,0
01/04/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.3,E,8,6.8,E,8,97,E,8,1006,E,8,188,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.494,E,8,0.143,E,8,0.20,E,8,1,-9990,0,0
01/04/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.0,E,8,6.5,E,8,97,E,8,1006,E,8,195,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.463,E,8,0.143,E,8,0.20,E,8,1,-9990,0,0
01/04/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,6.4,E,8,98,E,8,1006,E,8,167,E,8,4.4,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.143,E,8,0.20,E,8,1,-9990,0,0
01/04/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.2,E,8,5.9,E,8,98,E,8,1006,E,8,108,E,8,4.9,E,8,-9990,0,0,-9990,0,0,1.399,E,8,0.143,E,8,0.20,E,8,3,-9990,0,0
01/04/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.6,E,8,6.1,E,8,97,E,8,1006,E,8,122,E,8,6.2,E,8,-9990,0,0,-9990,0,0,1.420,E,8,0.143,E,8,0.20,E,8,0,-9990,0,0
01/04/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.5,E,8,6.0,E,8,97,E,8,1006,E,8,20,E,8,4.7,E,8,-9990,0,0,-9990,0,0,1.410,E,8,0.143,E,8,0.20,E,8,0,-9990,0,0
01/04/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.4,E,8,6.1,E,8,98,E,8,1006,E,8,123,E,8,3.8,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.143,E,8,0.20,E,8,0,-9990,0,0
01/04/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.3,E,8,6.0,E,8,98,E,8,1006,E,8,236,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.416,E,8,0.143,E,8,0.20,E,8,0,-9990,0,0
01/04/2005,09:00,1,81,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,6.3,E,8,5.8,E,8,97,E,8,1006,E,8,273,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.389,E,8,0.143,E,8,0.20,E,8,0,-9990,0,0
